State/UT,Government,Aided,Private,Others,Department of Education,Tribal Welfare Department,Local body,Social welfare Department,Ministry of Labor,Other Govt  managed schools,Kendriya Vidyalaya / Central School,Jawahar Navodaya Vidyalaya,Sainik School,Railway School,Central Tibetan School,Total Government,Government Aided,Private Unaided [Recognized],Unrecognized,Madarsa recognized [by Wakf board/Madarsa Board],Madarsa unrecognized,Primary,Primary with Upper Primary,Pr  with Up Pr  sec  and H Sec ,Pr  Up Pr  and Secondary Only,Upper Primary only,Upper Pr  and Secondary,Up  Pr  Secondary and Higher Sec,Secondary Only,Secondary with Higher Secondary,Higher Secondary only/Jr  College,Boys,Girls,Co-Educational,URBAN,RURAL,Ashram [Govt ],KGBV,Model School,Non-Ashram [Govt ],Eklavya Model Residential School,Others,Private,Primary,Primary with Upper Primary,Pr  with Up Pr  sec  and H Sec,Pr  Up Pr  and Secondary Only,Upper Primary only,Upper Pr  and Secondary,Up  Pr  Secondary and Higher Sec,Secondary Only,Secondary with Higher Secondary,Higher Secondary only/Jr  College,Primary,Primary with Upper Primary,Pr  with Up Pr  sec  and H Sec ,Pr  Up Pr  and Secondary Only,Upper Primary only,Upper Pr  and Secondary,Up  Pr  Secondary and Higher Sec,Secondary Only,Secondary with Higher Secondary,Higher Secondary only/Jr  College,CBSE,State Board,ICSE,International Board,Others
Karnataka,50184,7417,20604,28,48672,853,69,361,1,124,58,31,9,1,5,50184,7417,20604,8,13,7,25554,31255,315,4523,547,1091,120,9774,1158,3896,546,1494,76193,22081,56152,383,197,31,435,0,623,1005,230,437,6,98,10,27,0,84,9,64,6405,17691,140,1573,134,450,57,4853,840,20,30686,14214,358,214,271
Kerala,5011,7195,3156,1339,4665,51,18,0,0,222,46,8,1,0,0,5011,7195,3156,1336,3,0,7132,4029,1425,1403,651,361,1006,163,469,62,80,236,16385,3316,13385,19,3,13,10,3,51,90,58,104,53,79,5,0,1,1,0,1,4219,2572,553,374,539,324,905,111,399,9,1398,3217,154,4,49
Lakshadweep,45,0,0,0,43,0,0,0,0,0,1,1,0,0,0,45,0,0,0,0,0,15,15,4,2,0,0,5,0,4,0,0,0,45,12,33,0,0,0,1,0,0,0,,,,,,,,,,,11,14,3,2,0,0,4,0,4,0,4,6,0,0,0
Madhya Pradesh,122056,874,29105,1949,89338,32420,73,20,0,29,122,43,5,5,1,122056,874,29105,0,1864,85,86965,19585,4312,3041,30000,546,233,4653,4641,8,3756,5151,145077,24289,129695,1306,50,34,873,39,415,1272,815,730,90,68,215,7,5,34,43,0,27985,2544,1034,647,15816,244,52,1662,2693,0,1018,16322,29,2,53
Maharashtra,66033,23554,19400,955,82,520,65200,123,0,0,68,33,1,6,0,66033,23554,19400,801,46,108,52574,29790,6125,10261,132,6153,1202,990,141,2574,1034,1846,107062,25802,84140,856,43,9,231,18,413,2644,654,470,46,81,1,20,7,9,1,11,21910,20194,4153,6395,26,2856,593,212,35,498,970,23491,234,86,53
Manipur,3073,587,1003,181,2083,950,0,7,0,14,9,9,1,0,0,3073,587,1003,160,21,0,2600,1033,120,746,51,141,36,27,20,70,7,39,4798,703,4141,7,14,0,6,3,27,113,6,9,0,10,0,0,1,0,0,1,565,332,37,260,7,59,11,1,7,1,64,1015,1,0,9
Meghalaya,7802,4181,2220,466,7778,0,0,0,0,5,12,5,2,0,0,7802,4181,2220,466,0,0,9348,210,44,148,3343,237,44,1033,65,197,17,85,14567,1037,13632,11,9,1,3,0,47,97,15,2,1,0,6,0,0,2,3,0,1407,44,11,21,400,39,9,77,6,10,25,1536,7,0,1
Mizoram,2564,231,1025,93,2174,1,376,0,0,0,7,5,1,0,0,2564,231,1025,93,0,0,1504,451,2,2,1089,4,4,677,0,180,1,5,3907,1290,2623,2,4,0,1,2,7,23,7,3,0,0,3,0,0,2,0,0,506,38,0,0,435,0,0,220,0,31,10,679,0,0,0
Nagaland,2007,0,745,0,1987,3,0,0,0,0,6,10,1,0,0,2007,0,745,0,0,0,1190,774,118,436,26,137,51,4,1,15,1,3,2748,481,2271,2,2,0,1,3,22,78,3,2,0,2,0,0,0,0,0,0,125,196,35,107,1,30,12,0,0,2,30,658,1,0,57
Odisha,55483,5770,4957,2507,53591,1664,0,13,0,116,63,31,1,3,1,55483,5770,4957,2455,43,9,34994,18884,191,3271,2953,3890,255,2327,0,1952,100,887,67730,5958,62759,1537,174,18,932,13,1056,644,5050,5606,12,1287,645,1164,80,580,0,1,13758,12504,45,2384,1630,2312,162,1284,0,0,1126,65528,1,0,110
